City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,82.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
11,Lorengau,PG,81.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
34,Parauna,BR,79.5,overcast clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
40,Butaritari,KI,81.88,light rain,3.0707,172.7902,Isles Sunset Lodge
43,Arraial Do Cabo,BR,75.06,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
48,High Rock,BS,80.62,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
52,Honiara,SB,77.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
65,Atuona,PF,77.52,few clouds,-9.8,-139.0333,Villa Enata
72,Kapaa,US,75.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
81,Port-Gentil,GA,82.36,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
83,Baracoa,CU,88.88,broken clouds,20.3467,-74.4958,Hostal Rio Miel
92,Freetown,SL,83.91,broken clouds,8.484,-13.2299,The Country Lodge Hotel
111,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
116,Pathanamthitta,IN,75.15,light rain,9.2667,76.7833,Vijaya Residency
119,San Vicente,AR,79.97,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
124,Mar Del Plata,AR,84.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Ocosingo,MX,75.11,scattered clouds,17.0667,-92.25,Chabek lumil
135,Kavieng,PG,82.94,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
137,Itarema,BR,86.27,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
140,Ambilobe,MG,76.62,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
141,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
143,Lalmohan,BD,77.11,scattered clouds,22.3384,90.7419,Sundorbon courier service
148,Carupano,VE,84.36,broken clouds,10.6678,-63.2585,Hotel La dorada
150,Bubaque,GW,78.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
156,Arima,TT,87.75,broken clouds,10.6333,-61.2833,Refine Home Style Ltd.
161,Kalmunai,LK,79.0,broken clouds,7.4167,81.8167,VS Villa
162,Stephenville,US,75.54,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
172,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
176,Makakilo City,US,76.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
178,Lawigan,PH,76.44,broken clouds,10.487,122.0354,The Assemblage Point Resort and Convention Hub
