City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Manzhouli,CN,49.6,117.4333,24.46,38,3,3.22,clear sky
1,Kahului,US,20.8947,-156.47,69.06,69,1,3.96,clear sky
2,Montrose,US,38.4166,-108.2673,50.45,27,1,0.63,clear sky
3,Lompoc,US,34.6391,-120.4579,60.93,89,90,5.75,overcast clouds
4,Qaanaaq,GL,77.484,-69.3632,2.53,51,0,8.25,clear sky
5,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,few clouds
6,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,87.66,65,86,2.06,overcast clouds
7,Adrar,MR,20.5022,-10.0711,86.29,12,100,8.5,overcast clouds
8,Hilo,US,19.7297,-155.09,82.27,74,2,0.45,clear sky
9,Ushuaia,AR,-54.8,-68.3,49.66,53,0,13.8,clear sky
10,Ponta Do Sol,PT,32.6667,-17.1,78.01,76,69,8.41,broken clouds
11,Lorengau,PG,-2.0226,147.2712,81.55,79,83,6.26,broken clouds
12,Gornozavodsk,RU,58.3758,58.3211,36.23,85,95,11.16,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
14,Busselton,AU,-33.65,115.3333,49.8,90,35,6.87,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,74.77,85,86,21.7,light rain
16,New Norfolk,AU,-42.7826,147.0587,51.93,65,67,4.0,broken clouds
17,Madimba,TZ,-10.4,40.3333,75.83,80,20,5.64,few clouds
18,Talnakh,RU,69.4865,88.3972,17.1,96,100,1.74,light snow
19,Nouadhibou,MR,20.931,-17.0347,71.58,78,3,17.27,clear sky
20,Souillac,MU,-20.5167,57.5167,73.78,78,40,4.61,scattered clouds
21,Melilla,ES,35.2937,-2.9383,73.6,56,0,6.91,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,35,6.33,scattered clouds
23,Ostrovnoy,RU,68.0531,39.5131,33.08,86,100,11.83,overcast clouds
24,Narsaq,GL,60.9167,-46.05,29.21,71,41,3.31,scattered clouds
25,Jorhat,IN,26.75,94.2167,70.39,87,52,1.68,broken clouds
26,Cape Town,ZA,-33.9258,18.4232,64.81,76,0,16.11,clear sky
27,Sena Madureira,BR,-9.0656,-68.6569,103.26,25,16,2.57,few clouds
28,Berlevag,NO,70.8578,29.0864,37.2,77,85,6.22,overcast clouds
29,Jamestown,US,42.097,-79.2353,54.3,92,90,4.0,overcast clouds
30,Rize,TR,40.9044,40.8949,37.76,80,15,8.57,few clouds
31,Payson,US,40.0444,-111.7321,61.79,54,75,4.61,broken clouds
32,Saint George,US,37.1041,-113.5841,71.13,27,8,3.11,clear sky
33,Katsuura,JP,35.1333,140.3,59.14,61,48,2.01,scattered clouds
34,Parauna,BR,-16.9478,-50.4486,79.5,62,98,8.32,overcast clouds
35,Saskylakh,RU,71.9167,114.0833,8.91,92,100,10.89,overcast clouds
36,Pisco,PE,-13.7,-76.2167,65.01,82,90,8.05,overcast clouds
37,Tabriz,IR,38.08,46.2919,54.86,71,40,16.11,scattered clouds
38,Husavik,IS,66.0449,-17.3389,39.11,93,100,12.57,overcast clouds
39,Lasa,IT,46.6166,10.7002,46.62,77,100,3.91,overcast clouds
40,Butaritari,KI,3.0707,172.7902,81.88,73,83,6.04,light rain
41,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,0,2.3,clear sky
42,Chokurdakh,RU,70.6333,147.9167,-3.62,99,100,5.82,overcast clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,90,8.05,overcast clouds
44,Upernavik,GL,72.7868,-56.1549,25.79,57,100,8.12,overcast clouds
45,Hobart,AU,-42.8794,147.3294,52.27,67,40,1.99,scattered clouds
46,Kaitangata,NZ,-46.2817,169.8464,50.04,69,75,6.2,broken clouds
47,Coquimbo,CL,-29.9533,-71.3436,62.33,72,20,6.91,few clouds
48,High Rock,BS,26.6208,-78.2833,80.62,58,33,24.43,scattered clouds
49,Prattville,US,32.464,-86.4597,58.32,88,90,6.91,overcast clouds
50,Yar-Sale,RU,66.8333,70.8333,11.82,88,100,18.86,overcast clouds
51,Port Alfred,ZA,-33.5906,26.891,64.31,91,12,9.82,few clouds
52,Honiara,SB,-9.4333,159.95,77.52,87,63,5.75,broken clouds
53,Hamilton,US,39.1834,-84.5333,56.95,96,100,1.01,overcast clouds
54,Ilulissat,GL,69.2167,-51.1,30.43,89,100,6.8,overcast clouds
55,Airai,TL,-8.9266,125.4092,62.53,91,99,0.74,overcast clouds
56,Leningradskiy,RU,69.3833,178.4167,-4.34,95,100,5.86,overcast clouds
57,Bluff,NZ,-46.6,168.3333,52.9,66,31,19.33,scattered clouds
58,Chuy,UY,-33.6971,-53.4616,71.22,74,99,14.09,overcast clouds
59,Brae,GB,60.3964,-1.353,48.11,87,100,17.94,overcast clouds
60,Mackay,AU,-21.15,149.2,73.38,94,75,4.61,broken clouds
61,Mataura,NZ,-46.1927,168.8643,47.46,69,32,3.85,scattered clouds
62,Gazalkent,UZ,41.5581,69.7708,46.76,44,86,3.13,overcast clouds
63,Toppenish,US,46.3774,-120.3087,48.34,39,0,7.34,clear sky
64,Lethem,GY,3.3803,-59.7968,93.6,42,23,3.62,few clouds
65,Atuona,PF,-9.8,-139.0333,77.52,69,14,18.99,few clouds
66,Suntar,RU,62.1444,117.6319,23.97,95,100,8.08,light snow
67,Goya,AR,-29.14,-59.2626,99.25,22,5,6.35,clear sky
68,Zhezkazgan,KZ,47.8043,67.7144,42.78,61,100,11.68,overcast clouds
69,Fort Nelson,CA,58.8053,-122.7002,22.59,74,1,6.91,clear sky
70,Cooma,AU,-36.2333,149.1333,29.97,100,7,0.0,clear sky
71,Albany,US,42.6001,-73.9662,57.78,88,99,9.15,light rain
72,Kapaa,US,22.0752,-159.319,75.18,79,27,2.55,scattered clouds
73,Nikolskoye,RU,59.7035,30.7861,45.88,93,85,6.96,overcast clouds
74,East London,ZA,-33.0153,27.9116,63.54,88,0,12.66,clear sky
75,Volax,GR,41.3167,24.0,45.79,72,0,1.63,clear sky
76,Radomsko,PL,51.0671,19.4448,55.51,54,3,11.81,clear sky
77,Bermeo,ES,43.4209,-2.7215,62.35,87,100,3.94,overcast clouds
78,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,12.66,broken clouds
79,Lagoa,PT,39.05,-27.9833,70.16,90,100,23.76,overcast clouds
80,Ribeira Grande,PT,38.5167,-28.7,71.33,90,100,20.11,overcast clouds
81,Port-Gentil,GA,-0.7193,8.7815,82.36,78,40,14.97,heavy intensity rain
82,Codrington,AU,-38.2667,141.9667,41.77,94,2,8.08,clear sky
83,Baracoa,CU,20.3467,-74.4958,88.88,57,76,7.07,broken clouds
84,Amot,NO,59.5714,7.9877,46.51,93,100,6.24,light rain
85,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,100,90,6.91,light snow
86,Yellowknife,CA,62.456,-114.3525,29.41,94,40,8.01,scattered clouds
87,Hofn,IS,64.2539,-15.2082,43.02,86,100,15.66,light rain
